timestamp,tick,bhaya,vairagya,shraddha,spanda,bhaya_fired,vairagya_fired,shraddha_fired,spanda_fired,cpu_percent,ram_percent,action_class,target_pid,target_name,intensity,execution_success,reason,intent_injected,session_id
2026-03-22T12:15:07.592829,1,0.0984,0.2984,0.493,0.3433,0,0,0,0,3.5,59.8,IDLE,,,0.0,1,No action — system nominal,0,20260322_121507
2026-03-22T12:15:09.145132,2,0.1717,0.0,0.0,0.0,0,1,1,1,0.0,59.8,IDLE,,,0.0,1,No action — system nominal,0,20260322_121507
2026-03-22T12:15:09.748363,3,0.2789,0.2896,0.5,0.3913,0,0,0,0,15.5,59.7,PROTECT,27112,python3.11.exe,0.5,1,[PROTECT] Shraddha=0.500 — python3.11.exe (PID 27112) marked trusted.,0,20260322_121507
2026-03-22T12:15:11.279657,4,0.3375,0.0,0.0,0.0,0,1,1,1,6.2,59.7,IDLE,,,0.0,1,No action — system nominal,0,20260322_121507
2026-03-22T12:15:11.883292,5,0.3935,0.3084,0.5,0.3772,0,0,0,0,6.1,59.7,PROTECT,27112,python3.11.exe,0.5,1,[PROTECT] Shraddha=0.500 — python3.11.exe (PID 27112) marked trusted.,0,20260322_121507
2026-03-22T12:15:13.407906,6,0.4225,0.0,0.0,0.0,0,1,1,1,2.0,59.7,ALERT,27112,python3.11.exe,0.4225,1,[ALERT] Bhaya=0.422 — monitoring python3.11.exe (PID 27112). No action yet.,1,20260322_121507
2026-03-22T12:15:14.926270,7,0.4581,0.3134,0.5,0.3735,0,0,0,0,3.6,59.7,PROTECT,27112,python3.11.exe,0.5,1,[PROTECT] Shraddha=0.500 — python3.11.exe (PID 27112) marked trusted.,0,20260322_121507
2026-03-22T12:15:16.455688,8,0.4738,0.0,0.0,0.0,0,1,1,1,1.0,59.7,ALERT,27112,python3.11.exe,0.4738,1,[ALERT] Bhaya=0.474 — monitoring python3.11.exe (PID 27112). No action yet.,0,20260322_121507
2026-03-22T12:15:18.009907,9,0.0,0.3186,0.5,0.3696,1,0,0,0,1.0,59.7,PROTECT,27112,python3.11.exe,0.5,1,[PROTECT] Shraddha=0.500 — python3.11.exe (PID 27112) marked trusted.,1,20260322_121507
2026-03-22T12:15:19.543044,10,0.464,0.2613,0.0,0.0,0,0,1,1,33.1,59.7,ALERT,27112,python3.11.exe,0.464,1,[ALERT] Bhaya=0.464 — monitoring python3.11.exe (PID 27112). No action yet.,1,20260322_121507
2026-03-22T12:15:21.068487,11,0.5162,0.0,0.5,0.3846,0,1,0,0,1.0,59.7,PROTECT,27112,python3.11.exe,0.5,1,[PROTECT] Shraddha=0.500 — python3.11.exe (PID 27112) marked trusted.,0,20260322_121507
2026-03-22T12:15:22.581422,12,0.4967,0.3,0.0,0.0,0,0,1,1,2.8,59.7,ALERT,27112,python3.11.exe,0.4967,1,[ALERT] Bhaya=0.497 — monitoring python3.11.exe (PID 27112). No action yet.,0,20260322_121507
2026-03-22T12:15:24.136264,13,0.5585,0.0,0.5,0.3936,0,1,0,0,7.0,59.7,PROTECT,27112,python3.11.exe,0.5,1,[PROTECT] Shraddha=0.500 — python3.11.exe (PID 27112) marked trusted.,0,20260322_121507
2026-03-22T12:15:25.646229,14,0.5609,0.2768,0.0,0.0,0,0,1,1,14.4,59.7,ALERT,27112,python3.11.exe,0.5609,1,[ALERT] Bhaya=0.561 — monitoring python3.11.exe (PID 27112). No action yet.,0,20260322_121507
2026-03-22T12:15:27.197379,15,0.4718,0.0,0.4798,0.4095,0,1,0,0,17.6,59.7,PROTECT,27112,python3.11.exe,0.4798,1,[PROTECT] Shraddha=0.480 — python3.11.exe (PID 27112) marked trusted.,1,20260322_121507
2026-03-22T12:15:28.756764,16,0.5122,0.29,0.0,0.0,0,0,1,1,7.8,59.7,ALERT,27112,python3.11.exe,0.5122,1,[ALERT] Bhaya=0.512 — monitoring python3.11.exe (PID 27112). No action yet.,0,20260322_121507
2026-03-22T12:15:30.308691,17,0.5842,0.0,0.447,0.3891,0,1,0,0,4.0,59.9,PROTECT,27112,python3.11.exe,0.447,1,[PROTECT] Shraddha=0.447 — python3.11.exe (PID 27112) marked trusted.,0,20260322_121507
2026-03-22T12:15:31.865216,18,0.5675,0.2886,0.0,0.0,0,0,1,1,8.3,59.9,ALERT,27112,python3.11.exe,0.5675,1,[ALERT] Bhaya=0.568 — monitoring python3.11.exe (PID 27112). No action yet.,0,20260322_121507
